,age,sex
s001,60.148110969666654,1
s002,34.558730509484676,0
s003,28.829020171786375,0
s004,59.27806044564846,0
s005,42.31578515226653,1
s006,48.752910081822165,0
s007,45.01697973721067,1
s008,45.46207228129738,1
s009,55.51633418256116,0
s010,23.112019920013758,0
s011,29.992181699977813,0
s012,47.581403540886804,1
s013,28.67988900986236,1
s014,53.81398503746599,1
s015,61.502500756814584,1
s016,50.895702538966304,1
s017,40.70207232926276,0
s018,58.29838410702344,1
s019,55.6863952036793,1
s020,57.120275485074195,1
s021,56.691879529007,0
s022,47.96010617100251,0
s023,40.234580896462184,1
s024,30.368244598788287,0
s025,29.573683496840992,1
s026,36.225577849065346,0
s027,48.8578103046388,0
s028,37.26156132055736,0
s029,27.059500045713285,0
s030,21.33084576081586,0
s031,49.8753498424432,0
s032,18.877806557470524,1
s033,44.24067996022586,1
s034,56.911059272627305,1
s035,45.75921662495165,1
s036,49.00451673166545,0
s037,37.18277638476043,0
s038,22.726805673586604,1
s039,31.450215513610967,1
s040,63.29839579591685,0
s041,43.13360589981501,0
s042,20.885904049222656,1
s043,19.08645776755674,0
s044,57.80841468264437,1
s045,25.042959294961804,1
s046,57.8227240223205,0
s047,58.99833124940934,0
s048,52.92208140476328,0
s049,20.121040144341414,0
s050,19.539059011901358,1
s051,30.221590166891236,1
s052,49.046004898914966,0
s053,35.78641355285521,1
s054,23.297033001269682,1
s055,46.21990541448981,1
s056,41.21538116967144,0
s057,52.28893322841877,1
s058,46.35568357582645,1
s059,57.9869951624001,1
s060,59.133333933720415,0
s061,23.966592263951387,0
s062,47.337837938319105,1
s063,47.602265952569496,0
s064,47.88558849808273,0
s065,57.881141470589284,0
s066,45.95672309959603,1
s067,23.099189306576456,1
s068,28.491432548033025,0
s069,34.61969515448304,1
s070,23.54723525016299,0
s071,35.82447517639322,0
s072,27.930815205501112,0
s073,59.84105684149172,0
s074,37.34087922570313,1
s075,61.51059015193528,1
s076,24.426123546032834,1
s077,30.222418913217943,1
s078,27.397803898360827,1
s079,54.09868868508517,1
s080,21.92073248980332,0
s081,56.06882348338924,1
s082,18.001219960497362,1
s083,57.84183681268358,0
s084,30.907441552085693,0
s085,46.35894073199033,0
s086,49.11016778833471,1
s087,23.018527750304113,1
s088,60.49326899085087,0
s089,27.406753623806463,1
s090,46.34791828381674,0
s091,53.560623692408576,0
s092,63.938075162630206,1
s093,40.46389783814742,1
s094,20.744755228427454,0
s095,22.594263548864205,1
s096,57.5045303478863,0
s097,20.773431555687168,1
s098,59.98661095475755,1
s099,35.544075299092405,0
s100,30.836478372998208,0
