,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100
cg001,0.6527063860515119,0.0343201843085813,0.7471662675638849,0.8582440668307705,0.8991184801642866,0.7958784303477908,0.0013672066916341485,0.9573744853553806,0.5477923144726318,0.32558044504686745,0.8561320093455483,0.030164184595579124,0.006935715474693294,0.3194962706180653,0.017808396789317782,0.43629892247099944,0.3802405539167796,0.7030978167910151,0.9702999473169626,0.8416792442751168,0.19361050774613153,0.41397249758487953,0.2059931566959755,0.4904889473665114,0.4824914130426501,0.6778785341825351,0.043936331518789395,0.7361592436484876,0.5078659169734747,0.300657584899766,0.4419140193341512,0.8593401281967286,0.7120830887865687,0.7093768632880071,0.11141043938390904,0.36186956407224224,0.9792737125410078,0.5096103642109943,0.5524456015048314,0.9330859402812922,0.3974962378464668,0.9019345325040041,0.11865806297414716,0.3935830129729321,0.30449689414310155,0.534453294978821,0.6188606837387691,0.4532242537691712,0.08079280704593861,0.5924507405199191,0.9075088499229437,0.6033944033777207,0.9789314623110722,0.9032792044699272,0.7768143712145604,0.15993032995608536,0.31523698494838914,0.08776565132215808,0.9200838566684449,0.31823257790191806,0.554598728880627,0.34632155293115674,0.017381445874495194,0.7320353240353604,0.6644085444902368,0.669388898388191,0.20035006597258198,0.1279244425395779,0.902136862940116,0.30948831003933863,0.7559561422819766,0.2304772843731716,0.8273897096489792,0.3912367220247074,0.2471471406454291,0.4760728249135313,0.10529612303526248,0.2951113676898557,0.5710384144416556,0.5869800666856534,0.05894485347942002,0.48166966976800707,0.16067716676268906,0.48081669301188523,0.8073639206979852,0.6259954653601263,0.8229562032023334,0.22227938857792418,0.33374164764873415,0.35407171534144255,0.8110440981766331,0.8549359856605613,0.43940917474785535,0.5199178749291368,0.5504296215769137,0.3350736049854923,0.15027080668961013,0.9073278719201086,0.4369657194462857,0.6976883307875203
cg002,0.8473847761214093,0.11063765867040232,0.9951569008083365,0.3089528141173168,0.4064458597635152,0.07047248331081646,0.4405262427659348,0.019174215638421588,0.8911576534545208,0.6041831975950134,0.5476341092011519,0.035650222622637284,0.9263389083403805,0.602025770158472,0.25353825535451213,0.20659311275650305,0.9588329146629112,0.35491886800367345,0.7641170629234288,0.594374527689735,0.595857642143523,0.16082281421050293,0.025003966515147358,0.02407350506880024,0.3312565283244624,0.6188326704816589,0.31507905511483614,0.972120682052721,0.6804719319102485,0.44470941245700013,0.7211899117378897,0.45663620888876344,0.9914048121008671,0.2963269866601974,0.4690847221601637,0.7113485745719528,0.3543626583853108,0.4044500671169602,0.8070387660603285,0.29012500520978934,0.3394322256076495,0.2962420840360176,0.4049574267128353,0.23435428620033294,0.9308425382892876,0.11414934300881041,0.4929242306589081,0.7515915248571451,0.4905034954041735,0.7031350884905522,0.13688790370347226,0.652551745874086,0.6369330273557257,0.011177013132080194,0.6860297542569659,0.012796837807711126,0.10881935680912158,0.4623837856178521,0.28045867368065047,0.9176206752900131,0.7364094112461143,0.23856014426900918,0.4484189207323518,0.7767127927042611,0.39749920903778435,0.19711063560053244,0.9164065021302266,0.5166723754558775,0.03269408093287507,0.40564499311302094,0.21817874466174036,0.9848889709463644,0.3850045546582018,0.6944408768106797,0.8853749136410549,0.3451122564222582,0.47137040589869883,0.8539909728059654,0.901251302265963,0.2424263133207024,0.090978260326943,0.18593104202774546,0.7643521266551425,0.8265335702665665,0.8617960788335729,0.998555431063207,0.7827145318683357,0.5912972891882515,0.8331214496803954,0.4026637210950168,0.3055081583161954,0.45296770615315174,0.9104655799634518,0.028668601877760103,0.5675411321922266,0.9360452533149277,0.8767136372968055,0.554258871814836,0.7430580250039857,0.15934374057874245
cg003,0.9624887662357025,0.16211145187990972,0.3300910388501529,0.2196592378473089,0.2190122287979529,0.08302826149178377,0.7266795221074945,0.491871945223854,0.5320140873700419,0.8669033961250098,0.5880163855110193,0.9932813374676375,0.016251945628233844,0.5589713800570469,0.28778766073662587,0.6379495049386693,0.8661483973286878,0.45440105661249,0.3396074251757205,0.6477516712317122,0.8285332967386062,0.2900621285777988,0.7485719093943012,0.4105192288233279,0.8514086306327461,0.9941124088395066,0.8778629718740922,0.39311414624035135,0.19113690901726588,0.8146230212628465,0.1556734813121976,0.26367408125989733,0.3852216470127491,0.5907106772634497,0.44243411658713905,0.05775722712404541,0.17203232701949245,0.7585231899344655,0.5174848966134207,0.5185003399308765,0.17688929208112403,0.8272296452877352,0.07420141876843778,0.4214104091467099,0.17609205579328713,0.7372110470260006,0.45228323975242435,0.05076025162866138,0.9550542837595778,0.8324179441708603,0.2667949845974792,0.812041815819403,0.061353452353552496,0.9457869321485806,0.9460662624681935,0.3114321289096309,0.6950118541220067,0.6479133649372996,0.06004685152697964,0.480066263125266,0.2512837782276497,0.9776442746938888,0.10081726091316923,0.8757165222463231,0.5221218822451835,0.4888364324158806,0.29864265002864043,0.6650747941527543,0.47079631627699603,0.8202649090492058,0.091235366540801,0.805921354055884,0.797014474666962,0.5905560661735245,0.8800854288858262,0.9227050312579778,0.5978155642823597,0.34802822490290086,0.7687269831411582,0.26705312719412655,0.9192013239601751,0.13817477913627174,0.5584704346514014,0.906969637966607,0.194810936272667,0.22480830272964303,0.554710239424752,0.4165951771276848,0.33259079565414595,0.6683876826737774,0.5717968746499277,0.48911422049117503,0.930502552890089,0.6829920458509482,0.04661738442504881,0.6515051577666117,0.06406980099426374,0.5349854686855585,0.0397230114786884,0.9327779114615063
cg004,0.9870988300036441,0.5060285484417605,0.2405510757938777,0.1021660390247695,0.7761252065371917,0.8336898751021125,0.30638802913089025,0.2769699397784694,0.0848084968845384,0.29803751906512277,0.9765747701224206,0.4304474626219358,0.9617884009223147,0.2735100666101955,0.687411942709453,0.66725081597329,0.8196087966901958,0.15603295568060493,0.7562047607830221,0.892025649855233,0.9446749009633612,0.24069920755943885,0.9266643006741841,0.20152041806638898,0.8404409991265109,0.3865409837813567,0.08750203154712588,0.5207771967754802,0.15780538381391007,0.9696915637007998,0.1446675632545802,0.1575124629476451,0.17099738693982358,0.017533657206212028,0.13148975380817685,0.41660625475412416,0.849261196684077,0.3555214762322588,0.016884791245458386,0.9497146174800888,0.22745596746509467,0.36387444091822896,0.17055263160415857,0.41529066677929183,0.21554049741006753,0.5585002603102139,0.6160156451569335,0.8821898648589767,0.6267528371780128,0.9299320094579301,0.610010141958672,0.3483916174283994,0.11058052541070296,0.2724692085737286,0.008423429211234845,0.542663039576321,0.5313020472570636,0.12845223044131326,0.7393418469151403,0.09412279182379935,0.9923101693984304,0.43262848903269835,0.6555687396715356,0.29578961058065245,0.9270445730714162,0.16135462882518437,0.3660950369756958,0.9596988316903613,0.036933238686466696,0.15499584791124998,0.15423301309562443,0.277228347950496,0.3350038645384831,0.8858104452368134,0.0741927841598945,0.22211285723525198,0.4082672882349062,0.19601275168039023,0.9538096341018572,0.4427234447883144,0.9729621189450169,0.46785199894961305,0.08557840151082063,0.6479307624877042,0.8555484159344455,0.26408359799621595,0.5502606104038803,0.9298902475500559,0.966323737490054,0.022709438719552555,0.7642459625319429,0.783350270542969,0.0373761811918808,0.2271655719873935,0.6121563714205434,0.36748349518064183,0.6871958463265267,0.8834701770953022,0.6839832817399416,0.20086262741812566
cg005,0.7958353817924627,0.32159089139050134,0.7182913540763236,0.12071621467432958,0.8099352559816109,0.7168830613449436,0.4562761201065093,0.7635232911552132,0.8947579095980631,0.6707116705838176,0.006297411504524453,0.9020361743128051,0.644038149775231,0.9137956530376289,0.4340934029881046,0.42899872052696986,0.553889439293315,0.4195323230920034,0.0809790493136533,0.47782343290091156,0.1584433280264842,0.8829424874988369,0.8372622209805051,0.6310839516960658,0.6614048261529857,0.5722910684460293,0.14552555132919853,0.19946791067745084,0.5529052646878629,0.6782695114127074,0.5795160683409529,0.8714718318380403,0.14535942632275156,0.10805454780302615,0.99250415495876,0.8564421643069328,0.7649629505531058,0.037229318503643416,0.23446992140712652,0.32378608158573663,0.6884290847567329,0.6390953593847298,0.022180175095056875,0.49646719917634285,0.49272729935427584,0.9731003360151935,0.7210556648625385,0.8067819749861626,0.91503689215354,0.0893568413172906,0.3572828503872997,0.31097783000661305,0.802637922583618,0.8610690132787465,0.11933053637192625,0.546061322463521,0.16384811682669942,0.8572974335842709,0.6692047132959434,0.03363371002061277,0.6503489481159112,0.35610289549530305,0.8732588722347738,0.5707150837979965,0.018192439339257516,0.3191060050211475,0.392362770457936,0.8564689281776253,0.8884903956494664,0.6435148784509334,0.27926720911800584,0.4475421815158753,0.13427052638489256,0.9444799575972446,0.4359793332110158,0.8550083478050602,0.761413328946146,0.3974238008089306,0.9194878830905165,0.7822497473158749,0.6321864426656346,0.6816425193957307,0.38819641713541186,0.5266516660659242,0.18257606820719297,0.6756642994118346,0.24290047802940895,0.20912072858633857,0.8420268486769864,0.05130011882562402,0.17660284239560065,0.6568750185967531,0.15747628300936023,0.6304475068682248,0.919699261079123,0.7278010696458023,0.4758688513317263,0.5970406625317706,0.9617201780655418,0.8646716156865488
cg006,0.32907916265682347,0.882735775214853,0.61528552520324,0.34455401706880007,0.8515574286560947,0.5008971373274573,0.15805245878767615,0.24707884312473494,0.5741631803069203,0.7174580226912273,0.9510244711541492,0.7961658608564695,0.9465688226355974,0.9010382598535318,0.23590974376790896,0.8709104835959607,0.8868621654092431,0.721418151577233,0.7218753649956813,0.08278204673032463,0.9465525399127571,0.18201402649483767,0.6047031236427829,0.31783873690114683,0.1884835833711508,0.24227294661966225,0.1259992917944317,0.45734340371816906,0.4299997306842517,0.05964525044544644,0.7050271355551412,0.24049885236032276,0.8731084931596343,0.4384437299371593,0.05803298744277907,0.9887860844581605,0.5960040379968133,0.8752023444374388,0.12747432069672904,0.48705582573651074,0.26446355184132664,0.8223655186291499,0.573481752930821,0.5882898264834221,0.6816343658681,0.9309494807022257,0.4328576661946868,0.29366170348483456,0.1081854322921959,0.4160720389906838,0.958223554947797,0.3393346990166709,0.002647313165218712,0.6147671285032809,0.6144955875891436,0.6375317330317483,0.5345180545198238,0.8853928307560277,0.5602921389440239,0.3444518343358812,0.6538619733218443,0.1967621894952979,0.18844050649983946,0.8229102005497538,0.21762933376146265,0.21912422482894733,0.23663115954186653,0.44391174017092694,0.3878650946683486,0.5318875684497285,0.506825559397442,0.8418017201680156,0.036412861202350655,0.17485053196446187,0.11185959977263882,0.41273153179862787,0.5968820511107471,0.7478315556048618,0.8957022540046425,0.9012662303770026,0.00689699105491548,0.07161677067105232,0.3541706560461424,0.1840808601928685,0.3240310900940202,0.12124705878986464,0.957774004182145,0.26164264894063805,0.01752102794461252,0.2728978463115104,0.28937591767457205,0.5676637053712149,0.7041364269068631,0.3482701560214241,0.7803129062749143,0.37520645852233736,0.5612844199748824,0.6466650088418918,0.010401703673910245,0.05883874084308238
cg007,0.4238510745530357,0.8311806873181729,0.04364867937314798,0.3039058135202972,0.9898681960463647,0.6310659035689538,0.42980428713235386,0.6817311221534789,0.11292037616160433,0.2161844774108871,0.6846615673803919,0.8370270888880157,0.9959177620186875,0.9098197062789203,0.9263067143411481,0.6757622138687551,0.8669721709373759,0.059320932718525676,0.3730050290404445,0.890173989876986,0.692272803183361,0.5250122150414774,0.20051906616337956,0.7215717636066717,0.03640972158461808,0.9550745373378081,0.27406160574175475,0.023339082371774178,0.5160072778747582,0.4270535685098654,0.45360675988357557,0.23344945894166802,0.8137151096297627,0.717516294400028,0.12718750249350408,0.9787703888679999,0.5213258790190206,0.5562652815598346,0.5750318395649056,0.38580712866063627,0.3201743679085838,0.22666839917075,0.4747249911648256,0.9280615315735583,0.9160969790464124,0.7889667573427701,0.4771260521276933,0.6707420081060962,0.35301028597119644,0.4942326268515762,0.5099819128663015,0.993162414185094,0.40878530292023385,0.9087281134944747,0.6089031551750412,0.21593840340464687,0.023273816735502217,0.6696995790615821,0.32792305812347433,0.31453838979394355,0.5053116982187189,0.6688426298035657,0.2078118559089419,0.9500952730266768,0.6372437038929638,0.21876906707888655,0.1076441781826537,0.720847799264555,0.6689958518736621,0.37715144086759256,0.5967633258502263,0.41774199931870193,0.006383497503365865,0.606653454984516,0.4402969689911139,0.28260144562073497,0.8418377762459129,0.6690427146102866,0.08566870787444503,0.9044955886353613,0.1419486834349969,0.7241450174146663,0.726474144678517,0.3333043236158001,0.3069280025843175,0.6650456304068907,0.6446035396361095,0.8752914084168609,0.1652032299098315,0.7846473369620877,0.7577342690896096,0.7209795344303028,0.34378732411186563,0.26439395187374315,0.977171619476742,0.3350089476751308,0.6794444661774398,0.940367368716768,0.8082428814042778,0.6393966141073542
cg008,0.9074707180275775,0.3121782968964282,0.2296650104261504,0.9054651166840307,0.351735593934533,0.5418560410138392,0.42409854116087,0.712498372471465,0.7590419056567139,0.9068939680698197,0.8592275738445984,0.42331548096408833,0.6050111825139971,0.3538950255565054,0.3884154302625642,0.5151111923347927,0.8397490457756835,0.5684373988924948,0.41760996952922946,0.6581211974872941,0.7045768634465124,0.2842099853200739,0.4839426022109139,0.7714381140579961,0.28700553333407197,0.1426004552610951,0.4287749984039321,0.20433190527334255,0.28146614338597875,0.589532310177337,0.7690556161269567,0.9525554021175688,0.8242927521701017,0.3484551822304385,0.2449140381886824,0.8512744236699626,0.5016671437898509,0.35406508804488357,0.37334875120519695,0.158262065358465,0.3541116635389894,0.6156785532856054,0.046045525272189525,0.181226488381397,0.4275577198642575,0.11569216877844557,0.00889319228791785,0.34040719638746764,0.601380314810174,0.5222362233397813,0.0842742245219924,0.2969737710442304,0.6685609939519503,0.09443499732642202,0.45974179179169505,0.6306613850353827,0.5722941302136962,0.1771826738659098,0.448541084462998,0.49101045299739765,0.36642294454859725,0.8413301793871182,0.42617055555426675,0.625770974857751,0.5973367499387264,0.8537700356887278,0.2903649743222726,0.5637446371239482,0.8134084622571274,0.7751244574091246,0.3111852939135701,0.3894500195517373,0.287581895481653,0.9462519722178917,0.9391777971312019,0.6787903143911914,0.10365566844688767,0.11351338755010121,0.8298930777909339,0.3554138732323723,0.6239707123984773,0.9706291227850382,0.09377442459491403,0.9660260461093314,0.8474179753172086,0.7083008403488579,0.2820139621978742,0.43475436917060395,0.0673228674110824,0.7285510579571296,0.8485427145287411,0.2782100059741863,0.35697310426535145,0.041740800533101696,0.5398472997128649,0.4574368215805097,0.03356774027866605,0.2887054620054408,0.26637181638021556,0.12134247047043112
cg009,0.12851735130116393,0.7342492644567934,0.07314147185076347,0.5674158009304935,0.39076614104599194,0.772859695161712,0.11320454240013256,0.41184951129619085,0.6092225157427793,0.892718385509075,0.26123019011583726,0.4158510445115028,0.2616701457663624,0.454963472380278,0.8179256465768254,0.4610617615071251,0.40331243289021024,0.38542340228071537,0.5065431621790121,0.07230970158602956,0.24050040192796396,0.5337258214034767,0.163275899618465,0.38227601104059705,0.0627901792699106,0.613301051051816,0.1906354934770147,0.6291823587586652,0.7815974491589185,0.7457700225675314,0.41298159404770696,0.4608521582729419,0.3025100066830577,0.643108724940257,0.6989051318822261,0.8774629545386368,0.36690531483130995,0.20690672267826282,0.22330447796210962,0.8957023190694847,0.6838664720556885,0.41656971966300993,0.9128621331389593,0.10865114201082904,0.9704551277245096,0.7186352966592164,0.3493493483747734,0.4303284636862591,0.8383115188935614,0.3826409257089626,0.7600417589255613,0.3245286313287973,0.2646065602075486,0.7119491691367918,0.4985240451668975,0.5345950868930835,0.7212737403071026,0.914160369555209,0.10861165838388176,0.7408835520741546,0.02366997441997154,0.28782923261428794,0.9976345863307607,0.0016391639404409464,0.596644475989656,0.5894659056985856,0.7063003073363887,0.6205874207392269,0.49120734274768496,0.12781359183467256,0.5768285061310079,0.3871742898259243,0.973104057446544,0.7351202443070879,0.11634131621142929,0.6298527545254541,0.7642260704946703,0.44947817866178963,0.4008919907560571,0.9435351626619528,0.8345456026527289,0.33414117499842555,0.0996770621665265,0.49496328708074044,0.4039820462486863,0.9847911741773226,0.9909360275480725,0.2834122481468767,0.587702122574748,0.80862781367805,0.7097624123886721,0.45205828057670927,0.008661924133553045,0.9087023460095026,0.6208404800491634,0.5415957815287682,0.6510373577232713,0.41430527589883037,0.20766715467580477,0.5756703375185034
cg010,0.04791178197361734,0.12294585379463496,0.9726479215820726,0.4749205929894268,0.7084444901797828,0.9382259156509307,0.28662940192824393,0.48801788942531066,0.4576277800982499,0.8024243106792441,0.22464074251267607,0.347962125201423,0.2779407934626441,0.5152616429138621,0.3331019594222623,0.13220371020501698,0.06345323613115428,0.3406871113790564,0.8681673727015471,0.5038662806739044,0.932067998516048,0.86604196823074,0.649139510817942,0.602163170878791,0.3893536519705081,0.8011488431694636,0.9265758798461895,0.5800568204759017,0.22195068196413026,0.16608018328981378,0.6166100600588432,0.32872457067001537,0.19382939662836285,0.8328976973978209,0.09150135181954056,0.4685986641740777,0.018534027977977097,0.23955802349463173,0.5751374705734805,0.7628814733609619,0.026273774658188365,0.7585400666936389,0.637395003953455,0.43004847657180756,0.5294830259941966,0.48945789806412454,0.8044688075349887,0.5662126123603649,0.6968566697795987,0.28009481186293894,0.15398959962557157,0.46782230832563465,0.05271858896778414,0.7696035999178626,0.90668605279574,0.09937063526197243,0.9293820041832942,0.63840665792649,0.9829064137656336,0.867792753956838,0.924097031982651,0.5352312281331748,0.659994943577907,0.6111271247068768,0.43540060944616077,0.30604206231648434,0.8575746504624148,0.29881373175304804,0.8671938121100221,0.6930670025404759,0.4405827054422814,0.9642133113050819,0.8912852867341204,0.3916374680248914,0.7925016871817964,0.18782799472155398,0.8832312360732583,0.01499439020523119,0.5527065232984495,0.23010464710926692,0.37713042920437834,0.09978094153910655,0.26607701605968226,0.0370646915355215,0.8793905711941324,0.06408889555031938,0.07837990816476315,0.9165137884456128,0.8201000529349225,0.20754699178406577,0.01200395780065866,0.3838026610052647,0.800176281569539,0.29361000539833704,0.8484708065536881,0.7458957653328316,0.8134827620097987,0.48749380783599905,0.26815774240777757,0.7654203974092052
