,Meth_PC1,Meth_PC2,Meth_PC3,Meth_PC4,Meth_PC5
s001,-0.17221963447883726,0.04374676453751561,0.012894361623030856,0.5051167331421137,0.7725056477377981
s002,0.09399326460263442,-0.06704906095359812,0.45301164613558254,-0.7008844408835172,-0.3665998777060344
s003,-0.6073210657892147,0.42959307233223337,-0.4078341429150346,0.0848366627849634,-0.10634779217592921
s004,0.6285545603144572,-0.31022349636083485,-0.030280545591435365,0.251002305676279,-0.5418591904259188
s005,0.8945568571029485,0.15363996441686534,0.1834086960256656,-0.32646480349106966,0.3776596604731857
s006,-0.40061860669192684,0.003391187517034529,-0.24639419389245976,-0.7712261589789429,0.3083432885128155
s007,-0.5067308798128413,-0.09340369145179728,-0.31816136295301595,0.0854279335345358,-0.09821828485589369
s008,0.27118730167264044,-0.7710138740077273,-0.1433020712380334,0.047482231714017005,0.07921417347402182
s009,-0.10637518782425417,0.056698883324895324,-0.42565978333394533,0.222998869782406,0.24285383954836948
s010,-0.3423996416258607,-0.26447252357778045,0.254119500612851,0.44522784192132775,-0.03664384217371154
s011,-0.21591602023145817,0.17637237414954865,1.0707691438514446,0.168286922967072,0.1785619360184777
s012,-0.311001964516248,-0.3771844098954915,0.44494167852024774,0.16404370151196815,0.19144172956372335
s013,-0.10666499974346005,7.728772990971162e-05,0.6538984529574955,-0.5694501907828048,0.7217923645783065
s014,0.3359112184657271,0.05476584256397963,-0.2686246977114943,-0.3832346482458935,0.29726601531062996
s015,0.48817592902153684,-0.12547816545207774,0.024530348238891747,-0.47464292300786154,0.039310197352063994
s016,0.8067577381970691,-0.21413779915812028,0.7118958570529135,0.30500173794117064,-0.1361107349752155
s017,-0.39033263411083485,0.10096518331352144,0.46770086018884005,-0.002238258842975185,0.661759965521735
s018,0.6850189863273338,0.013635166713141545,-0.2942022084243804,0.25594993642458713,-0.23583781101354637
s019,-0.29794826795985674,0.5196476914514689,0.0172900507850109,0.01846224202160241,0.10752215576016416
s020,-0.07547514881013831,0.0057876488688523384,0.3927182152735604,-0.009173622621793111,0.3112808656632542
s021,-0.6955644913118247,0.4325692361175199,0.42218198125055006,0.01653777866470331,0.4485181862788824
s022,-0.21708463046651646,-0.19971590091456753,-0.15837592369244638,-0.5339423485107502,-0.3413849973859525
s023,-0.5347022807721934,-0.2850254857666473,0.18088628770223775,-0.49383942276330883,0.1332351704424474
s024,0.11278329973837273,-0.47501834057800035,-0.08907351964779793,0.45184505113816376,-0.13446609338496737
s025,-0.24618315468926935,0.06287463043995978,-0.6742641524539641,-0.0655994534130326,0.2762670106419065
s026,0.10924943450405532,0.24670476037181896,-0.24408360551748473,0.054506305101898044,-0.2382812055758795
s027,-0.9298030814162228,-0.10404650870394905,-0.22949280046635231,0.11084925459863526,-0.4944145021804107
s028,0.19814382968633615,0.7410220437051275,-0.3386233891050357,0.24968787479144727,-0.26874352472185953
s029,0.22755603977931627,0.35401417160195253,-0.3536994058661019,-0.36339036019687115,-0.20871651197044702
s030,-0.031193943954551176,-0.585203311152,0.0022392455642366166,0.17934017137371913,0.5693799534565818
s031,0.42591940409076806,0.019745320362778238,0.04833458512755819,0.19158864377011997,-0.3880376236275983
s032,0.38062665112907246,-0.14482692794762872,-0.5192781722160931,-0.017268962268147597,-0.16527159269798328
s033,0.006550782342565442,0.8636218712175189,0.050346543789619565,-0.06139441257927886,-0.29014054991908805
s034,-0.03248372921134238,-0.17566779373273722,0.009044773993231663,-0.012124986058835404,-0.7581098066554596
s035,0.01280878828370742,-0.4715644614029275,-0.5584710644325533,-0.23100758008039207,-0.06928458351546783
s036,0.4202190683161797,0.21504970005294552,-0.012026738596748212,-0.7051230353974717,0.35199506905528244
s037,0.7375466014340183,0.14229768900087547,-0.021543563368719484,-0.02318068077182899,0.3891206820245488
s038,-0.7235504979436695,0.16800779673776614,0.5621660080086658,0.28306747388946,-0.48163324227796844
s039,-0.5721581712498273,0.053318563367866056,0.0572549138178069,0.0890065512114957,-0.5204956077230269
s040,-0.48315014909900184,0.2488575447920293,0.3672946493533625,-0.3516899050805718,-0.19222044004386493
s041,0.7072234512627442,-0.2497856571752759,-0.14906970916529563,0.10757762341896368,-0.26325565551531505
s042,0.49090130005813987,0.4479845151554786,-0.2300927686805425,0.7727656433875789,0.06903225032365809
s043,0.032132065342506594,0.25364430422584966,-0.3384113627873798,-0.25937258247973727,-0.38389398111874623
s044,0.13797749520560543,-0.31443273850629977,0.46668770947753724,-0.12375856986997116,-0.39376080380527095
s045,0.6294337823048255,0.21403493735757154,-0.1385410597194768,-0.23828048714584044,-0.07950297314454387
s046,0.08766034438095197,-0.35571262467604253,0.4917107821916997,0.06021283366512554,0.3189348657583726
s047,0.19714423844754148,0.5341366434838963,-0.27409389053180255,-0.1397619460021565,-0.13274866580494038
s048,0.6143835362938674,-0.12253452858532057,-0.02691536637811827,0.13101317320449324,0.4199906200332218
s049,-0.13586371053226057,-0.8642665935338795,-0.15333044152244768,0.03684512422689604,0.22882038783575265
s050,-0.6493351173080405,0.4519349301015117,0.2110342736150184,0.5249673877403591,0.4905824644235226
s051,0.621183916945416,0.29716011886797655,0.55820688766391,0.011147365591922451,-0.6981354175217552
s052,0.18738362741411085,-0.1316699274619083,0.09547829930444325,0.2297468564981913,-0.25261816153488664
s053,0.0938884101220202,0.08128166350542433,-0.5498724271985606,-0.38709697171783397,-0.023647503234713516
s054,0.058418076883175164,-0.35211044749293247,0.5161299406593446,-0.14976881168683492,-0.2654716620046362
s055,0.06715524609551446,0.15318456374997944,-0.24925604994265624,0.6405284976236099,-0.335114289869448
s056,-0.2903454123331974,-0.8036980394123544,0.4467909316669828,-0.3239926510119002,-0.25966051972161314
s057,-0.11950865501798799,-0.6173487802653177,0.029821544210317567,0.5138678907451167,-0.1633110275585123
s058,0.16497170074276157,-0.0668233976018012,0.17857001392153599,-0.10367958210151161,-0.13168158482577216
s059,0.3408837105319028,0.4658324941173906,-0.39613462392595056,-0.249536224875488,0.1866268267863663
s060,0.056271497484839186,0.3701951300740147,-0.4924734582471514,0.22083919229808943,-0.3902749843482825
s061,-0.42784777790696504,0.8175754660986336,-0.11145802657890949,-0.20948167156575542,0.5582497876951171
