gt_id,mt_id,mt_est,mt_err,mt_t,mt_p
ILMN_001,cg001,-13.710738,14.200956,-0.9654799,0.3343045
ILMN_001,cg002,-2.9135427,16.533634,-0.17621914,0.8601218
ILMN_001,cg003,-27.475634,15.29871,-1.7959445,0.07250333
ILMN_001,cg004,-7.90692,17.141548,-0.4612722,0.6446033
ILMN_001,cg005,0.9518112,15.92617,0.05976397,0.95234364
ILMN_001,cg006,-18.12065,15.33294,-1.1818118,0.23728037
ILMN_001,cg007,-36.434643,13.536578,-2.6915696,0.0071116686
ILMN_001,cg008,-1.77083,15.63441,-0.11326491,0.90982056
ILMN_001,cg009,9.255338,15.332623,0.603637,0.546085
ILMN_001,cg010,-25.3142,15.792117,-1.6029643,0.10894257
ILMN_001,cg011,11.465563,14.952633,0.76679224,0.44320506
ILMN_001,cg012,-3.979913,16.542803,-0.24058275,0.8098785
ILMN_001,cg013,-3.4713778,15.334005,-0.22638428,0.8209026
ILMN_001,cg014,24.877739,13.585164,1.8312432,0.067064285
ILMN_001,cg015,13.919746,15.455424,0.9006383,0.3677807
ILMN_001,cg016,19.403542,15.278387,1.2699994,0.20408487
ILMN_001,cg017,-20.579142,14.493503,-1.4198874,0.15564048
ILMN_001,cg018,-0.5843199,16.991596,-0.03438876,0.97256714
ILMN_001,cg019,-11.38002,13.790667,-0.8251973,0.40925962
ILMN_001,cg020,30.049206,15.795839,1.9023495,0.05712551
ILMN_001,cg021,-10.675542,15.9908695,-0.66760236,0.5043875
ILMN_001,cg022,11.866686,15.4913645,0.7660194,0.4436648
ILMN_001,cg023,9.397596,14.501934,0.64802366,0.5169697
ILMN_001,cg024,-7.5525007,14.664263,-0.51502764,0.6065337
ILMN_001,cg025,8.8992605,14.218975,0.62587214,0.5313988
ILMN_001,cg026,-10.435016,15.509381,-0.6728196,0.50106204
ILMN_001,cg027,-20.607225,14.087608,-1.462791,0.14352459
ILMN_001,cg028,-12.752726,17.024523,-0.74907976,0.45380914
ILMN_001,cg029,-7.969185,18.00063,-0.44271702,0.6579704
ILMN_001,cg030,8.613825,14.817454,0.5813296,0.56101835
ILMN_001,cg031,-7.242985,15.860026,-0.45668176,0.6478998
ILMN_001,cg032,9.010622,14.910241,0.60432434,0.5456281
ILMN_001,cg033,-4.351665,14.840669,-0.29322568,0.7693497
ILMN_001,cg034,-55.239235,15.015325,-3.678857,0.00023430586
ILMN_001,cg035,10.914,13.882821,0.7861514,0.4317788
ILMN_001,cg036,-26.713566,14.700389,-1.8172013,0.06918633
ILMN_001,cg037,-11.508776,14.793056,-0.77798504,0.4365778
ILMN_001,cg038,20.505909,15.78152,1.2993621,0.1938197
ILMN_001,cg039,-2.6740744,16.034817,-0.16676676,0.8675536
ILMN_001,cg040,-0.8289724,16.368057,-0.050645743,0.95960784
ILMN_001,cg041,10.168681,16.046408,0.63370454,0.52627367
ILMN_001,cg042,20.419617,14.099896,1.4482104,0.14755821
ILMN_001,cg043,11.573289,15.947518,0.725711,0.46801597
ILMN_001,cg044,17.70249,15.154978,1.1680974,0.24276751
ILMN_001,cg045,20.331577,15.112224,1.345373,0.17850482
ILMN_001,cg046,7.2963676,13.325263,0.547559,0.58399475
ILMN_001,cg047,27.169426,15.560104,1.7460953,0.080794394
ILMN_001,cg048,8.918227,14.571143,0.6120472,0.54050654
ILMN_001,cg049,41.400604,14.119576,2.932142,0.0033663511
ILMN_001,cg050,-2.369825,14.433041,-0.16419443,0.8695781
ILMN_001,cg051,0.95137525,15.6375475,0.06083916,0.9514873
ILMN_001,cg052,-18.188093,14.504592,-1.2539542,0.20985866
ILMN_001,cg053,14.921494,15.721264,0.9491281,0.34255546
ILMN_001,cg054,-23.235289,15.661552,-1.4835879,0.1379183
ILMN_001,cg055,-1.0235603,14.0731735,-0.07273131,0.94201994
ILMN_001,cg056,-1.4959627,16.563812,-0.090315126,0.9280368
ILMN_001,cg057,-14.920732,18.176859,-0.82086414,0.41172367
ILMN_001,cg058,4.860182,14.265357,0.3406982,0.7333308
ILMN_001,cg059,22.659525,14.035505,1.6144431,0.106431365
ILMN_001,cg060,5.1334867,14.720386,0.3487332,0.7272896
ILMN_001,cg061,37.87445,13.290542,2.8497295,0.0043756366
ILMN_001,cg062,3.8722188,15.79448,0.24516279,0.8063304
ILMN_001,cg063,3.5939429,15.241124,0.23580563,0.8135835
ILMN_001,cg064,1.0980432,15.176634,0.072350904,0.9423227
ILMN_001,cg065,25.261126,15.429901,1.6371541,0.10159826
ILMN_001,cg066,11.808628,15.805207,0.7471353,0.45498192
ILMN_001,cg067,-16.952475,14.420828,-1.1755549,0.2397728
ILMN_001,cg068,-38.997093,13.176368,-2.9596238,0.0030801296
ILMN_001,cg069,31.531256,14.675814,2.1485183,0.031672597
ILMN_001,cg070,-5.4540763,14.932393,-0.36525133,0.7149238
ILMN_001,cg071,-4.444191,14.436839,-0.30783683,0.7582065
ILMN_001,cg072,-3.7513156,15.866494,-0.23643002,0.813099
ILMN_001,cg073,21.022305,13.8765955,1.5149468,0.1297859
ILMN_001,cg074,3.2753565,17.594013,0.18616313,0.85231686
ILMN_001,cg075,-21.965343,15.167382,-1.448196,0.1475622
ILMN_001,cg076,3.8166897,18.201803,0.20968746,0.8339116
ILMN_001,cg077,-15.233432,15.139542,-1.0062016,0.3143186
ILMN_001,cg078,-7.810862,16.370499,-0.47713038,0.6332693
ILMN_001,cg079,-19.990139,14.611715,-1.3680898,0.17128396
ILMN_001,cg080,-2.8560464,13.970565,-0.20443314,0.838015
