gt_id,mt_id,mt_est,mt_err,mt_t,mt_p
ILMN_001,cg001,-13.710722,14.200954,-0.9654789,0.33430505
ILMN_001,cg002,-2.9135523,16.533636,-0.17621969,0.86012137
ILMN_001,cg003,-27.475657,15.298714,-1.7959455,0.07250321
ILMN_001,cg004,-7.9069223,17.14154,-0.46127257,0.6446031
ILMN_001,cg005,0.9517989,15.926174,0.059763186,0.95234424
ILMN_001,cg006,-18.12064,15.332933,-1.1818117,0.23728043
ILMN_001,cg007,-36.434677,13.536584,-2.691571,0.0071116686
ILMN_001,cg008,-1.7708225,15.634417,-0.11326438,0.909821
ILMN_001,cg009,9.255356,15.33261,0.60363865,0.5460839
ILMN_001,cg010,-25.314209,15.792124,-1.6029642,0.10894257
ILMN_001,cg011,11.465574,14.952638,0.7667928,0.4432047
ILMN_001,cg012,-3.9799137,16.542799,-0.24058285,0.80987847
ILMN_001,cg013,-3.4713688,15.334001,-0.22638376,0.82090294
ILMN_001,cg014,24.877712,13.585162,1.8312415,0.06706452
ILMN_001,cg015,13.919746,15.455421,0.9006384,0.36778063
ILMN_001,cg016,19.403522,15.278382,1.2699986,0.20408517
ILMN_001,cg017,-20.579145,14.4935055,-1.4198874,0.15564048
ILMN_001,cg018,-0.5843258,16.991587,-0.034389123,0.97256684
ILMN_001,cg019,-11.380039,13.7906685,-0.82519853,0.4092589
ILMN_001,cg020,30.04918,15.795831,1.9023488,0.05712557
ILMN_001,cg021,-10.675545,15.990869,-0.66760254,0.5043874
ILMN_001,cg022,11.866665,15.491362,0.7660182,0.44366544
ILMN_001,cg023,9.397613,14.501939,0.64802456,0.5169691
ILMN_001,cg024,-7.5524893,14.664258,-0.51502705,0.6065341
ILMN_001,cg025,8.899261,14.218974,0.62587225,0.5313988
ILMN_001,cg026,-10.43501,15.509379,-0.6728193,0.5010623
ILMN_001,cg027,-20.607231,14.087609,-1.4627912,0.14352453
ILMN_001,cg028,-12.752703,17.024517,-0.7490787,0.45380974
ILMN_001,cg029,-7.969187,18.000626,-0.44271722,0.6579703
ILMN_001,cg030,8.613813,14.817452,0.5813289,0.5610188
ILMN_001,cg031,-7.242983,15.860016,-0.45668194,0.6478997
ILMN_001,cg032,9.01062,14.910245,0.6043241,0.5456282
