,LB001,LB002,LB003,LB004,LB005,LB006,LB007,LB008,LB009,LB010,LB011,LB012,LB013,LB014,LB015,LB016,LB017,LB018,LB019,LB020
ILMN001,37.82587147876668,45.33187143301018,77.87377130475407,98.32292403140674,28.471884414251072,19.76790954238729,9.993513825097486,16.721072598986286,79.620061576388,32.26781473926532,51.35535006216648,29.988482750659625,72.37447156040398,83.32367640045588,88.73524834086271,59.75315342965287,36.26999901148942,7.513269465520537,48.280047209426215,25.896728362237827
ILMN002,33.813964122116246,71.29509035013025,94.05161126400911,38.15220184262738,45.013425563669756,25.249825805142954,50.23221108781617,62.65716015379377,24.170446384017335,75.98014502185016,69.36222291179553,72.64613197538044,10.399875854203623,96.02997780862451,46.09164794668193,87.42244392286209,91.07814877596016,99.62408173952511,19.116384716573478,0.6979172779986693
ILMN003,77.60064562324364,4.117369182601885,26.90122989622981,1.5197771784735714,18.39357561097029,96.82494813896831,57.77864233416229,59.42945115927075,12.178268742757755,21.997063182206297,11.331318124384833,57.553292993724554,0.6128899353909727,93.064274763124,33.84735269891634,84.96082728382781,32.30726481933937,90.6662839475805,20.042022979792225,44.1503938237016
ILMN004,22.14585819187391,33.717856266425734,32.72026169335075,88.82694896461412,56.0915244457919,45.910985310500486,44.96699345881169,78.60243641807827,51.71350993727337,89.29543756092373,1.0520071905039172,43.641108736724334,47.20592883533182,13.702529269406826,86.8994272083224,79.12050320749034,6.154191667988044,22.42476909130542,0.025053214626375775,21.41849966282676
ILMN005,92.83420706372667,17.476565426629424,57.865663135641114,80.45374862124426,72.92713241460017,89.24238351429591,51.04443685609207,33.64177090985538,86.21453760515317,78.40360539341826,76.16027285142503,69.8362762145666,33.88399212301841,88.27022245226343,62.11572893728828,46.44342776172648,46.039549515567586,9.101180265740455,49.85595135097315,92.45405011732969
ILMN006,48.48225357356448,24.137714416100415,67.93376259965258,80.99186845832844,23.512201107410796,98.40158796814397,87.1837935240258,18.63139757564034,78.52486190018688,33.14091284378378,16.254581028978116,62.57668397915171,34.91831071521222,47.067788135144895,1.7049541328371536,89.43106093731345,29.86478888957647,61.51934377048886,1.0971200693358716,77.28925755336614
ILMN007,12.704314658463796,38.96198610882117,54.98835753357553,72.64837415710169,72.36333864458732,15.471812398373121,35.08852423500173,92.54539372940005,73.20791023860376,14.672850867954047,99.86123914332101,0.86935022294988,21.78575168535592,22.598240476872213,82.68322269024522,0.3686672268461799,44.736660982896346,68.84243528452495,14.42825917366432,87.53249681319558
ILMN008,96.96464967085011,88.46770137170007,64.4850248353846,8.102183474943182,90.22295324458464,90.61073890382758,47.26014473475659,87.69741225747453,64.88091569973354,85.50678315230232,92.19823542995265,28.031134683316182,39.73252689550549,42.010880118610764,69.32408006610417,53.903445055494274,47.35831851529176,9.218352008510793,3.458307199410995,9.746538257084929
ILMN009,10.146556995682504,88.72442458522272,95.29726903663519,47.14497258750319,39.70984149040179,5.39097726313779,62.447849825929005,46.23083500406244,19.876783473240877,56.724486250411765,30.457972823479317,45.322944892895386,71.39656167332502,76.65471854738816,93.91418677740741,4.940477479396662,74.6684279053583,59.821396378631576,59.80649986142609,31.925472725938278
ILMN010,76.21943635545873,37.1861314159686,22.56861256853761,97.2812871558951,90.59680536563143,28.37105584621823,73.00568061750863,16.680348855889484,80.39505645101747,2.2943818063549264,3.962235699682097,53.77560552456464,74.37604783468544,75.7732973149192,15.914423665857537,84.425105704805,80.88957663158385,10.91637932038772,42.4516093840597,79.16149230476144
