X.PROBE_ID	UTR_TAG	ALN_BASIS	BWA_NUM_MISMATCHES	NUM_HITS	HIT	SNP_INFO	gene	uniq	Chr	Strand	P_start	P_end	Gene_symbol
ILMN_1792672	inclUTR	exome	0	1	chr2|-|128604584-128604633|1566_NM_004805,POLR2D|exonic;	NA	1	1	2	-	128604584	128604633	POLR2D
ILMN_3237022	inclUTR	exome	0	2	chr11|+|193773-193822|586_NM_001097610,LOC653486|exonic;chr11|+|193773-193822|586_NM_145651,SCGB1C1|exonic;	NA	1	1	11	+	193773	193822	LOC653486,SCGB1C1
ILMN_1904052	inclUTR	exome	0	1	chr13|-|44410552-44410601|115_NM_144974,CCDC122|exonic;	MAF=0.464664,Name=chr13_44410553	1	1	13	-	44410552	44410601	CCDC122
ILMN_1807600	inclUTR	exome	0	1	chr17|-|79524173-79524222|148_NM_017921,NPLOC4|exonic;	NA	1	1	17	-	79524173	79524222	NPLOC4
ILMN_1805177	inclUTR	exome	0	1	chr18|+|19088353-19088402|11_NM_001142966,GREB1L|exonic;	NA	1	1	18	+	19088353	19088402	GREB1L
ILMN_1772631	inclUTR	exome	0	1	chr17|+|56280553-56280602|1014_NM_000502,EPX|exonic;	NA	1	1	17	+	56280553	56280602	EPX
ILMN_1716053	inclUTR	exome	0	5	chr1|-|33478821-33478870|840_NM_001625,AK2|exonic;chr1|-|33478820-33478869|840_NM_001199199,AK2|exonic;chr1|-|33478820-33478869|840_NR_037591,AK2|exonic;chr1|-|33478821-33478870|840_NR_037592,AK2|exonic;chr1|-|33478820-33478869|840_NM_013411,AK2|exonic;	NA	1	1	1	-	33478820	33478870	AK2
ILMN_1670542	inclUTR	exome	0	2	chr1|-|33478706-33478755|840_NR_037592,AK2|exonic;chr1|-|33478706-33478755|840_NM_001625,AK2|exonic;	NA	1	1	1	-	33478706	33478755	AK2
ILMN_3268232	inclUTR	exome	0	1	chr2|+|6112790-6112839|631_NR_026832,LOC150622|exonic;	NA	1	1	2	+	6112790	6112839	LOC150622
ILMN_3191764	inclUTR	exome	0	1	chr2|+|6112884-6112933|631_NR_026832,LOC150622|exonic;	NA	1	1	2	+	6112884	6112933	LOC150622
ILMN_2403047	inclUTR	exome	0	5	chr3|+|93773578-93773627|162_NM_144996,ARL13B|exonic;chr3|+|93773577-93773626|162_NM_001174151,ARL13B|exonic;chr3|+|93773576-93773625|162_NM_001174150,ARL13B|exonic;chr3|+|93773577-93773626|162_NR_033427,ARL13B|exonic;chr3|+|93773575-93773624|162_NM_182896,ARL13B|exonic;	NA	1	1	3	+	93773575	93773627	ARL13B
ILMN_1757427	inclUTR	exome	0	10	chrX|+|52511771-52511820|985_NM_001097604,XAGE1E|exonic;chrX|-|52260301-52260350|983_NM_001097594,XAGE1B|exonic;chrX|-|52260301-52260350|983_NM_020411,XAGE1D|exonic;chrX|-|52260301-52260350|983_NM_001097592,XAGE1A|exonic;chrX|-|52546135-52546184|985_NM_001097592,XAGE1A|exonic;chrX|-|52533241-52533290|985_NM_020411,XAGE1D|exonic;chrX|-|52260301-52260350|983_NM_001097597,XAGE1C|exonic;chrX|-|52546135-52546184|985_NM_001097594,XAGE1B|exonic;chrX|+|52238820-52238869|983_NM_001097604,XAGE1E|exonic;chrX|+|52511771-52511820|985_NM_001097597,XAGE1C|exonic;	NA	1	0					
ILMN_1738691	inclUTR	exome	0	1	chr13|-|79173603-79173652|1189_NM_006237,POU4F1|exonic;	NA	1	1	13	-	79173603	79173652	POU4F1
ILMN_3238910	inclUTR	exome	0	21	chrUn_gl000228|+|77418-77467|585_NM_012147,DUX2|exonic;chr10|+|135495055-135495104|1618_NM_001127389,DUX4L5|exonic;chr10|+|135495055-135495104|1618_NM_001127388,DUX4L6|exonic;chr10|+|135495055-135495104|1618_NM_001164467,DUX4L3|exonic;chrUn_gl000228|+|74112-74161|585_NM_033178,DUX4|exonic;chrUn_gl000228|+|103866-103915|585_NM_001127389,DUX4L5|exonic;chrUn_gl000228|+|103866-103915|585_NM_001127388,DUX4L6|exonic;chrUn_gl000228|+|103866-103915|585_NM_001164467,DUX4L3|exonic;chrUn_gl000228|+|74112-74161|585_NM_001127386,DUX4L2|exonic;chrUn_gl000228|+|113784-113833|585_NR_038191,DUX4|exonic;chr10|+|135498354-135498403|1618_NM_012147,DUX2|exonic;chr10|+|135488446-135488495|1618_NM_033178,DUX4|exonic;chr10|+|135485137-135485186|1618_NM_001127386,DUX4L2|exonic;chr10|+|135491745-135491794|1618_NM_001127387,DUX4L7|exonic;chr4|+|191013339-191013388|2042_NM_001164467,DUX4L3|exonic;chr4|+|191013339-191013388|2042_NM_033178,DUX4|exonic;chr4|+|191013339-191013388|2042_NM_001127389,DUX4L5|exonic;chr4|+|191013339-191013388|2042_NM_001177376,DUX4L4|exonic;chr4|+|191013339-191013388|2042_NM_001127388,DUX4L6|exonic;chr4|+|190996859-190996908|2042_NM_001127386,DUX4L2|exonic;chr4|+|191013339-191013388|2042_NM_012147,DUX2|exonic;	NA	1	0					
ILMN_2082244	inclUTR	exome	0	1	chr7|+|4810640-4810689|621_NM_001037165,FOXK1|exonic;	NA	1	1	7	+	4810640	4810689	FOXK1
ILMN_1702217	inclUTR	exome	0	1	chr17|-|37761244-37761293|873_NM_006160,NEUROD2|exonic;	NA	1	1	17	-	37761244	37761293	NEUROD2
ILMN_3247826	inclUTR	exome	0	1	chr12|+|21608950-21608999|749_NM_024854,PYROXD1|exonic;	NA	1	1	12	+	21608950	21608999	PYROXD1
ILMN_2169383	inclUTR	exome	0	2	chr1|-|120341126-120341175|1503_NM_032044,REG4|exonic;chr1|-|120341126-120341175|1503_NM_001159352,REG4|exonic;	NA	1	1	1	-	120341126	120341175	REG4
ILMN_1786882	inclUTR	exome	0	1	chr10|-|50667023-50667072|121_NM_000124,ERCC6|exonic;	NA	1	1	10	-	50667023	50667072	ERCC6
ILMN_1812552	inclUTR	exome	0	1	chr11|+|76733663-76733712|146_NM_018367,ACER3|exonic;	NA	1	1	11	+	76733663	76733712	ACER3
ILMN_2391141	inclUTR	exome	0	3	chr15|-|25582531-25582580|780_NM_000462,UBE3A|exonic;chr15|-|25582531-25582580|780_NM_130838,UBE3A|exonic;chr15|-|25582531-25582580|780_NM_130839,UBE3A|exonic;	NA	1	1	15	-	25582531	25582580	UBE3A
ILMN_1764549	inclUTR	exome	0	3	chr15|-|25582468-25582517|780_NM_130838,UBE3A|exonic;chr15|-|25582468-25582517|780_NM_130839,UBE3A|exonic;chr15|-|25582468-25582517|780_NM_000462,UBE3A|exonic;	NA	1	1	15	-	25582468	25582517	UBE3A
ILMN_1721540	inclUTR	exome	0	1	chr19|+|16928536-16928585|89_NM_001007525,NWD1|exonic;	NA	1	1	19	+	16928536	16928585	NWD1
ILMN_2246555	inclUTR	exome	0	1	chr3|-|195505315-195505326:195505660-195505698|2076_NM_018406,MUC4|exonic;	NA	1	1	3	-	195505315	195505698	MUC4
ILMN_1727314	inclUTR	exome	0	3	chr3|-|195538645-195538694|2076_NM_138297,MUC4|exonic;chr3|-|195538643-195538692|2076_NM_018406,MUC4|exonic;chr3|-|195538644-195538693|2076_NM_004532,MUC4|exonic;	NA	1	1	3	-	195538643	195538694	MUC4
ILMN_2321153	inclUTR	exome	0	3	chr3|-|195473938-195473987|2076_NM_004532,MUC4|exonic;chr3|-|195473938-195473987|2076_NM_018406,MUC4|exonic;chr3|-|195473938-195473987|2076_NM_138297,MUC4|exonic;	NA	1	1	3	-	195473938	195473987	MUC4
ILMN_1792039	inclUTR	exome	0	3	chr3|-|195538662-195538711|2076_NM_138297,MUC4|exonic;chr3|-|195538660-195538709|2076_NM_018406,MUC4|exonic;chr3|-|195538661-195538710|2076_NM_004532,MUC4|exonic;	NA	1	1	3	-	195538660	195538711	MUC4
